report,boundary_or_statistic,value,fluent_unit,reference_depth_m,unit_per_span
mass_flow,inlet,19.209032,kg/s,1,kg/(s*m)
mass_flow,outlet,-19.20892,kg/s,1,kg/(s*m)
mass_flow,net,0.00011242737,kg/s,1,kg/(s*m)
heat_transfer,wall_vane_solid_side,36718.276,W,1,W/m
heat_transfer,wall_vane_fluid_side,-36718.275,W,1,W/m
heat_transfer,cooling_hole_01,-4117.5999,W,1,W/m
heat_transfer,cooling_hole_02,-3900.1402,W,1,W/m
heat_transfer,cooling_hole_03,-3824.58,W,1,W/m
heat_transfer,cooling_hole_04,-3967.1194,W,1,W/m
heat_transfer,cooling_hole_05,-4641.503,W,1,W/m
heat_transfer,cooling_hole_06,-4061.3602,W,1,W/m
heat_transfer,cooling_hole_07,-4962.5267,W,1,W/m
heat_transfer,cooling_hole_08,-3391.6212,W,1,W/m
heat_transfer,cooling_hole_09,-2210.7215,W,1,W/m
heat_transfer,cooling_hole_10,-1640.8924,W,1,W/m
heat_transfer,cooling_holes_total,-36718.064,W,1,W/m
wall_yplus,minimum,0.010472916249,-,1,-
wall_yplus,area_weighted_average,0.305198457422,-,1,-
wall_yplus,maximum,0.452774109387,-,1,-
